ID	Symbol	Type
148534	TLCD4	protein-coding
100527978	TLCD4-RWDD3	protein-coding
25950	RWDD3	protein-coding
58155	PTBP2	protein-coding
1806	DPYD	protein-coding
51375	SNX7	protein-coding
163404	PLPPR5	protein-coding
9890	PLPPR4	protein-coding
54873	PALMD	protein-coding
391059	FRRS1	protein-coding
178	AGL	protein-coding
23443	SLC35A3	protein-coding
64645	MFSD14A	protein-coding
163786	SASS6	protein-coding
54482	TRMT13	protein-coding
127495	LRRC39	protein-coding
1629	DBT	protein-coding
8634	RTCA	protein-coding
8556	CDC14A	protein-coding
54112	GPR88	protein-coding
7412	VCAM1	protein-coding
2135	EXTL2	protein-coding
148867	SLC30A7	protein-coding
51611	DPH5	protein-coding
1901	S1PR1	protein-coding
118427	OLFM3	protein-coding
1301	COL11A1	protein-coding
55599	RNPC3	protein-coding
280	AMY2B	protein-coding
279	AMY2A	protein-coding
276	AMY1A	protein-coding
277	AMY1B	protein-coding
278	AMY1C	protein-coding
55170	PRMT6	protein-coding
22854	NTNG1	protein-coding
10451	VAV3	protein-coding
29957	SLC25A24	protein-coding
148545	NBPF4	protein-coding
653149	NBPF6	protein-coding
